epoch,accuracy,loss,val_accuracy,val_loss
0,0.568691611289978,1.0434560775756836,0.4399999976158142,3.2209055423736572
1,0.6415888071060181,0.8989543914794922,0.2800000011920929,4.947810649871826
2,0.6626168489456177,0.8527188897132874,0.6293333172798157,0.9484130144119263
3,0.6836448311805725,0.78128582239151,0.5759999752044678,1.4399726390838623
4,0.7345794439315796,0.7117621302604675,0.5066666603088379,1.575433611869812
5,0.732243001461029,0.6689011454582214,0.5839999914169312,1.3529443740844727
6,0.7271028161048889,0.6737762689590454,0.4906666576862335,1.6004632711410522
7,0.7626168131828308,0.587271511554718,0.6800000071525574,0.9483481645584106
8,0.782243013381958,0.560806155204773,0.6293333172798157,1.0698833465576172
9,0.7850467562675476,0.5703275203704834,0.6693333387374878,0.9779926538467407
10,0.822429895401001,0.47896596789360046,0.6826666593551636,1.4530587196350098
11,0.7934579253196716,0.5262277126312256,0.6346666812896729,1.3440581560134888
12,0.8070093393325806,0.5023767948150635,0.6320000290870667,1.6766433715820312
13,0.8322429656982422,0.41493311524391174,0.4986666738986969,2.5028624534606934
14,0.8331775665283203,0.42840927839279175,0.8266666531562805,0.5838916301727295
15,0.8495327234268188,0.40074849128723145,0.7680000066757202,0.6658515334129333
16,0.8607476353645325,0.3768536150455475,0.6079999804496765,1.2900786399841309
17,0.8481308221817017,0.39716219902038574,0.765333354473114,0.735137939453125
18,0.8626168370246887,0.35541194677352905,0.7760000228881836,0.7530040740966797
19,0.8761682510375977,0.3529195189476013,0.6426666378974915,1.6491161584854126
20,0.8668224215507507,0.33614087104797363,0.7360000014305115,1.1105632781982422
21,0.8845794200897217,0.3172967731952667,0.7360000014305115,0.8442931175231934
22,0.8873831629753113,0.3132285177707672,0.762666642665863,0.9561843276023865
23,0.8808411359786987,0.3152930736541748,0.6000000238418579,1.1349539756774902
24,0.8808411359786987,0.3175409436225891,0.6986666917800903,1.0284758806228638
